id,name,host_id,location_id,number_of_reviews,occupancy,price,room_type,host_listings_count
15557,Private-cozy Brooklyn Apt. Room,67803853,15556,26,365,50,Private room,1
15558,Upper East Side Room,56623911,15557,3,365,45,Private room,1
15559,On Central Park West,3207402,15558,7,240,110,Private room,1
15560,Sunny Two Bedroom in South Slope,2593193,15559,0,354,200,Entire home/apt,1
15561,Luxury townhouse Greenwich Village,66240032,15560,0,365,6000,Entire home/apt,1
15562,Cozy Apartment in Queens — 20 Min to Manhattan,34790915,15561,0,365,70,Private room,1
15563,GREAT STUDIO IN HEART OF EAST VILLAGE!,10665495,15562,3,365,199,Entire home/apt,1
15564,"Clean Cozy Room, close to Subway Shops Restaurants",5069809,15563,29,32,65,Private room,1
15565,Spacious Williamsburg Apartment,18004909,15564,1,356,95,Private room,1
15566,Spacious  Room in Downtown Brooklyn,6604691,15565,0,365,80,Private room,1
15567,LUX One Bedroom Doorman W&D 5133,16098958,15566,1,28,200,Entire home/apt,96
15568,Sunny & Luxurious West Village Apartment!,55457305,15567,37,26,274,Entire home/apt,1
15569,CoZy RooM & Private Bathroom BK:) SUPERHOST :),3441272,15568,93,163,50,Private room,5
15570,Great Location,67884746,15569,172,282,105,Private room,1
15571,20 Day Room Rental in Manhattan!!,67931669,15570,0,365,45,Private room,1
15572,1BR in Midtown West Apartment,10158478,15571,0,365,350,Private room,1
15573,Cute and cosy one bedroom,60946174,15572,9,275,350,Private room,1
15574,2 BDRM Apt. in the Middle of NYC apt. 3B,17770287,15573,5,155,180,Entire home/apt,14
15575,Near Times Square,64837317,15574,128,147,225,Entire home/apt,1
15576,Huge 800 sq ft 1 bedroom apt,67758079,15575,1,365,100,Entire home/apt,1
15577,Sunny Williamsburg Sublet,17763535,15576,0,365,1300,Private room,1
15578,A cozy home,43128266,15577,5,33,55,Private room,3
15579,Beautiful Sunlight Studio Apt,3089851,15578,4,365,70,Entire home/apt,1
15580,"Prime, Modern & Spacious Williamsburg Apartment",4354856,15579,0,365,50,Private room,2
15581,Spacious Bedroom on Eastern Parkway,12335685,15580,1,365,67,Private room,1
15582,Big 1BR apt near Central Park & Times Square!,43436738,15581,1,365,150,Entire home/apt,1
15583,One Bedroom Wall St Luxury Apt,68013836,15582,3,365,35,Private room,1
15584,Sunny Bedroom w/ Private Bathroom in Williamsburg,24225572,15583,15,359,90,Private room,1
15585,Manhattan Sunny Private Room,20586090,15584,8,365,53,Private room,1
15586,Lovely flat heart of New-York,15074852,15585,0,365,300,Entire home/apt,1
15587,Studio Apt with Private Backyard,68070597,15586,0,365,80,Entire home/apt,1
15588,Luxury 2BR Midtown East-Near UN!,26521212,15587,5,365,299,Entire home/apt,3
15589,BK'S FINEST CLOSE 2 TRANSPORTATION-,50600973,15588,72,365,41,Private room,7
15590,"Private Bedroom, Bath & Living room",68082818,15589,1,365,50,Private room,1
15591,Sunny Studio Apartment in Ridgewood,20907226,15590,5,365,70,Entire home/apt,1
15592,1BR. SugarHill. 15 Min Midtown.,51093380,15591,0,0,500,Entire home/apt,1
15593,QUIET CLEAN APT IN THE HEART OF IT ALL 4,47577639,15592,49,86,185,Entire home/apt,2
15594,Stunning Bedroom in Midtown East,68094755,15593,98,87,98,Private room,1
15595,"Penthouse 2BR w skylight,terrace, and a roof deck.",68094795,15594,55,128,399,Entire home/apt,2
15596,"Lrg sunny aprtmt, UWS/Central Park",2898343,15595,12,365,170,Entire home/apt,1
15597,High Rise Financial District Apt,8756366,15596,0,365,80,Private room,1
15598,Beautiful spacious brownstone in Central Harlem,10312167,15597,53,55,376,Entire home/apt,2
15599,Modern & cosy Bronx apt w/ parking,11761831,15598,68,363,99,Entire home/apt,1
15600,2 bed apt: heart of Times Square,32503657,15599,0,365,200,Entire home/apt,1
15601,Lovely Bed-Stuy Brownstone Parlor Apartment 1BR,26813492,15600,3,365,91,Entire home/apt,1
15602,Bedstuy Flat Sublet    3 WEEK MIN,3910530,15601,0,365,60,Entire home/apt,1
15603,Nice bedroom in east village apartment,68138404,15602,50,125,60,Private room,1
15604,Private bedroom near L & M trains,68139079,15603,0,365,50,Private room,1
15605,"West village, great location!",57786447,15604,1,365,250,Entire home/apt,1
15606,Large 1bdr perfect Village location,68145886,15605,75,357,209,Entire home/apt,1
15607,Sunny Private Bedroom in Park Slope,342510,15606,0,365,65,Private room,1
15608,Large room in Astoria home,34546087,15607,11,365,48,Private room,1
15609,"1 Bedroom, Close to 4, 5, 6 trains",68250800,15608,137,267,60,Private room,2
15610,Historic Gem Close to SI Ferry,68252461,15609,108,67,165,Entire home/apt,1
15611,FANTASTIC FLOOR THROUGH ONE BEDROOM,18901504,15610,69,213,218,Entire home/apt,2
15612,Greenwich village West 4th Street,24018769,15611,0,365,160,Entire home/apt,1
15613,Airy Apt w/ Balcony by Central Park,62850707,15612,154,314,200,Entire home/apt,1
15614,Spacious Loft in Williamsburg,1623346,15613,2,365,53,Private room,1
15615,Brooklyn Beauty - Private Room,26225727,15614,76,342,65,Private room,1
15616,Sunny Duplex in Brooklyn's Best Area,43438475,15615,30,240,280,Entire home/apt,3
15617,"Private room in Charming, Cozy and Sunny Apt",1520629,15616,67,55,60,Private room,1
15618,2 Bedroom next to Prospect Park!,68240110,15617,4,8,800,Entire home/apt,1
15619,Lovely apartment as home,68309691,15618,229,358,99,Entire home/apt,1
15620,"Modern, Central Park relaxation",10737943,15619,18,176,120,Entire home/apt,10
15621,1BR Avaliable in 3Br Condo,17603414,15620,27,209,70,Private room,2
15622,UWS Duplex 3bdrm next to Central Pk,5162192,15621,4,156,235,Entire home/apt,12
15623,Spacious 4bdrm next to CentralPk,5162192,15622,4,166,275,Entire home/apt,12
15624,Luminous room,10577784,15623,28,123,86,Private room,2
15625,Shared Bedroom in Upper East Side!,13406954,15624,3,365,49,Shared room,3
15626,Sunny light filled comfy bedroom,9848712,15625,86,125,85,Private room,2
15627,"Astoria living, like a true NY'er",5059784,15626,10,365,125,Entire home/apt,1
15628,Sunny light filled bedroom,9848712,15627,89,137,85,Private room,2
15629,Magical 1 BR in Crown Heights,16702803,15628,2,365,70,Entire home/apt,1
15630,Violet Sunset Room,67208195,15629,71,2,60,Private room,2
15631,Cozy little room in beautiful brownstone house !,57059509,15630,19,363,50,Private room,1
15632,A top floor in Midtown,18901504,15631,81,180,218,Entire home/apt,2
15633,SPACIOUS 2 BR APT WITH PRIVATE BACKYARD,9293730,15632,13,35,135,Entire home/apt,16
15634,"Large, next to park, subway gardens",13822373,15633,2,365,120,Private room,1
15635,Comfy in Queens!,66734502,15634,3,365,55,Private room,2
15636,"Styled, Spacious Ft Greene Studio",6444711,15635,7,365,150,Entire home/apt,1
15637,Quiet-Private Large Brooklyn Studio,1539941,15636,10,3,75,Entire home/apt,1
15638,"Clean, Mod & Quick to Times Square",15218314,15637,0,365,43,Private room,1
15639,1 Block from Times Sq. and Broadway,49262827,15638,150,364,115,Entire home/apt,1
15640,Your SUNNYROOM 15mnts to Manhattan!,14498263,15639,105,264,60,Private room,1
15641,Sun-drenched Park Slope Studio,11732822,15640,33,364,160,Entire home/apt,1
15642,Pull-out Sofa in Central Harlem,657869,15641,47,234,39,Shared room,2
15643,Rest and Relax,4057761,15642,49,365,45,Private room,1
15644,"XL room in artists' home, Flatbush/Ditmas Park",1166833,15643,5,365,45,Private room,1
15645,Private oasis in Hamilton Heights.,68551886,15644,0,365,25,Private room,1
15646,Private room for sublet,68556398,15645,0,365,65,Private room,1
15647,Gorgeous Harlem 1br best location,2480467,15646,1,365,125,Entire home/apt,1
15648,Private room for 2  NY Close to LGA No hidden fees,67261284,15647,204,365,67,Private room,2
15649,NEW! American Private Cozy Room,16740102,15648,0,365,52,Private room,1
15650,APT in LES with view,516563,15649,5,353,110,Entire home/apt,1
15651,"Huge,  Sunny,  Good Vibes Authentic Artist's LOFT",227369,15650,82,292,177,Entire home/apt,1
15652,Cozy Sunny room,65820457,15651,0,365,25,Private room,1
15653,Park Slope Gem,35383368,15652,0,365,175,Entire home/apt,1
15654,Newly renovated! Spacious Park Slope Apt. Quiet St,228858,15653,73,106,150,Entire home/apt,2
15655,Sunny Cozy Loft Bedroom,26054687,15654,0,365,75,Private room,1
15656,Peaceful and beautiful room by park,1216362,15655,43,177,41,Private room,4
15657,Modern high-end studio!,9997184,15656,10,365,185,Entire home/apt,1
15658,Newly Renovated Private 3 bedroom Apt.Near,60077920,15657,74,224,175,Entire home/apt,1
15659,Spacious Harlem room in tidy 4th-floor walkup,68684053,15658,1,365,40,Private room,1
15660,Spacious 3 Bedroom in Park Slope,52577563,15659,9,0,135,Entire home/apt,3
15661,Peaceful Greenpoint Sanctuary,6389984,15660,34,365,195,Entire home/apt,1
15662,Quiet room in Bed-Stuy,68585649,15661,0,365,30,Private room,1
15663,"Homey, Peaceful, and Spacious Space",709939,15662,4,365,50,Private room,1
15664,Relaxing room in vibrant Brooklyn,68719139,15663,4,365,40,Private room,1
15665,Private Studio in Herald Square,68729762,15664,2,365,150,Entire home/apt,1
15666,Beautiful Room in Artist's Home,3629866,15665,5,64,75,Private room,1
15667,Spacious Penthouse Bedroom,68729548,15666,0,365,100,Private room,1
15668,"Sunny, Friendly, Brooklyn Apartment",24944767,15667,3,365,65,Private room,1
15669,Cozy 1 bedroom in 2BD apt. in Bed-Stuy. Long term!,13996246,15668,2,365,250,Private room,1
15670,Charming Sun-lit Two-Story Apartment,68735532,15669,30,365,136,Entire home/apt,1
15671,Quiet Soho/Nolita Garden Alcove Studio,3635907,15670,166,152,180,Entire home/apt,1
15672,Quiet & Cozy Bushwick Bedroom,46228833,15671,4,365,55,Private room,1
15673,Birds singing and sunsets in NYC!,18597974,15672,0,365,65,Private room,1
15674,Luxury 2BR Condo in Williamsburg,2686052,15673,39,365,225,Entire home/apt,1
15675,Loft @ Williamsburg Bedford,19912320,15674,6,365,99,Private room,2
15676,Heart of Williamsburg - Best Location,62058232,15675,3,365,90,Private room,1
15677,sunny room in NYC!,46047223,15676,0,365,20,Shared room,1
15678,"convenient, furnished APT",68769040,15677,1,275,980,Private room,1
15679,Cozy Chelsea Apt Great Location,68771036,15678,63,332,100,Private room,1
15680,Sunny Private room Central Harlem,657869,15679,69,243,73,Private room,2
15681,Sunny Townhouse - Brooklyn,18753186,15680,9,365,380,Entire home/apt,2
15682,Private bedroom in the Upper East!,13406954,15681,2,365,99,Private room,3
15683,The Oasis of Utica,16623502,15682,43,352,105,Entire home/apt,1
15684,Sunny Suite with Bath near Prospect Park,39185689,15683,12,189,35,Private room,1
15685,Beautiful apartment in Williamsburg,55121,15684,10,248,200,Entire home/apt,1
15686,Entire private # in a privately own  brownstone,60981198,15685,2,334,105,Private room,3
15687,Charming 1BR Near Park & Metro!,24012333,15686,0,365,180,Entire home/apt,1
15688,CENTRAL PARK / COLUMBUS CIRCLE /1BR,1475015,15687,2,0,87,Entire home/apt,52
15689,Summer in Brooklyn!,37234211,15688,0,365,50,Private room,1
15690,[Midtown NYC] Private room w/ private bathroom,17016231,15689,5,365,69,Private room,1
15691,Large sunny apartment nr Gramercy,54130816,15690,2,365,150,Entire home/apt,1
15692,Perfect for couples visiting NYC,68250800,15691,20,237,75,Private room,2
15693,"Quiet, pre-war apt on 30th Ave",68878222,15692,0,365,215,Entire home/apt,1
15694,Charming Upper East Side Apartment,2750607,15693,0,365,150,Entire home/apt,1
15695,Massive 2 Bed near Columbia Univ.,43733051,15694,27,365,100,Entire home/apt,1
15696,Nice and quiet apt Bdway/Times Sq.,44530717,15695,1,365,224,Entire home/apt,1
15697,Near all shopping & transportation,68848703,15696,21,2,119,Private room,2
15698,Very big room in Designed apt.15 mins to Manhattan,68909853,15697,53,1,80,Private room,1
15699,Cozy and Comfy in Crown Heights!!!,47187182,15698,0,276,75,Private room,1
15700,"Sunny, Chelsea Manhattan apartment",12534916,15699,0,365,125,Private room,1
15701,NYC deluxe room 15 min to Manhattan,68907781,15700,67,345,58,Private room,3
15702,Two Nice Private Rooms in Brooklyn!,14933972,15701,3,353,128,Private room,3
15703,3 day Washington heights/inwood sub,68930733,15702,0,365,60,Private room,1
15704,LUXURIOUS APT in MANHATTAN w TERRACE and GYM,49902290,15703,2,365,115,Private room,1
15705,Simple Apartment in SoHo,39637568,15704,0,365,105,Private room,1
15706,Manhattan - Near Subway!,68929870,15705,0,365,69,Private room,1
15707,Cute Room in Big Apt in Brooklyn,14933972,15706,69,354,76,Private room,3
15708,Large Middle Bedroom & Private Backyard,30848788,15707,41,276,45,Private room,2
15709,Sunny bedroom in gorgeous ParkSlope,49024977,15708,2,365,80,Private room,1
15710,Great room with INCREDIBLE view,65884381,15709,7,365,75,Private room,1
15711,2BR-E 60TH RESIDENCIES WITH DOORMAN,2856748,15710,0,41,200,Entire home/apt,49
15712,Room in the HEART of Williamsburg,8314626,15711,148,62,89,Private room,1
15713,Williamsburg Large Bedroom,66556483,15712,0,365,80,Private room,1
15714,Doorman Gym W&D RoofDeck!5112,16098958,15713,2,261,197,Entire home/apt,96
15715,Amazing cozy shared male room on Manhattan IV\),39528519,15714,0,47,35,Shared room,28
15716,Large stylish Mid Century Duplex in Clinton Hill,11109705,15715,10,365,180,Entire home/apt,1
15717,"Luxury, doorman Building- FIDI",2676750,15716,0,365,90,Private room,1
15718,Spacious Gowanus Apt,69063239,15717,3,365,125,Entire home/apt,1
15719,SUNNY 1BR / 1B UES APT,3836868,15718,2,365,170,Entire home/apt,1
15720,Heights Haven,1372942,15719,6,365,180,Entire home/apt,1
15721,2 bedroom  near Time Sq,51501835,15720,4,58,142,Entire home/apt,31
15722,Private Bedroom #5,66269338,15721,14,65,60,Private room,4
15723,Separate Bedroom on UES - 1 person,59215698,15722,8,124,98,Private room,2
15724,Comfortable Private Room w/ 1 Full Bed,65809485,15723,107,42,40,Private room,12
15725,Private Room In Hamilton Heights,45941973,15724,3,365,59,Private room,1
15726,Cozy Private Room w/ 1 Queen Bed,65809485,15725,102,260,40,Private room,12
15727,Beautiful West Village Apartment,23919461,15726,30,347,250,Entire home/apt,2
15728,Private Bed and Bath for Two!,25076118,15727,4,365,80,Private room,1
15729,Private Bedroom #2,66269338,15728,70,20,50,Private room,4
15730,Comfortable Room Near Columbia U,69124785,15729,2,365,50,Private room,1
15731,Private Full Size Bed #4,66269338,15730,49,36,65,Private room,4
15732,"Cozy 1BD w Private Terrace, Walk to Museums & Park",69131589,15731,6,365,140,Entire home/apt,1
15733,NE..Comfortable Room All Inclusive,68787921,15732,32,107,47,Private room,4
15734,NYC 2 BDRM Apt. Apt. 3A,17770287,15733,9,33,184,Entire home/apt,14
15735,Top Floor Newly Renovated 1-Bedroom,6472334,15734,12,365,139,Entire home/apt,2
15736,Sunny Williamsburg apartment,4658415,15735,5,365,57,Entire home/apt,1
15737,Entire 1 BR Williamsburg apt,69203926,15736,0,365,150,Entire home/apt,1
15738,Bright single bedroom in duplex with backyard.,69205600,15737,0,365,43,Private room,1
15739,1 Bedroom in a 4 Bedroom Apartment,69210611,15738,1,365,50,Private room,1
15740,Elegant 2 Bdrm Apt W/ Add. 2 Rms on Lower Level,15089968,15739,40,176,250,Entire home/apt,2
15741,"Bright, airy apartment in Brooklyn",19710054,15740,5,365,125,Entire home/apt,1
15742,Garden View Room Available,3673451,15741,3,365,50,Private room,2
15743,Flatiron NYC 1 Bed/1 Bath Apt!,1911171,15742,59,328,240,Entire home/apt,1
15744,"Sunny Room in Flatlands, Brooklyn!",69236458,15743,4,19,60,Private room,1
15745,Bright & Spacious Studio,10777637,15744,9,365,160,Entire home/apt,1
15746,Cozy room in Manhattan Morningside,69243005,15745,1,365,45,Private room,2
15747,1 Single Room in 4-Bedroom APT,69243005,15746,0,365,38,Private room,2
15748,Huge Room with Private Bathroom,20354912,15747,0,365,100,Private room,1
15749,Private Bedroom in 2 BR apartment,69254072,15748,0,365,85,Private room,1
15750,Furnished FUNky room in artist loft,2711820,15749,2,365,50,Private room,1
15751,Spacious Studio 15 min to Manhattan,69258420,15750,18,2,135,Entire home/apt,1
15752,Comfortable and cozy Apartment in Manhattan,50601037,15751,57,190,259,Entire home/apt,1
15753,Great Harlem room,20557896,15752,0,323,50,Private room,1
15754,Room for two in NYC!,69267322,15753,1,365,60,Private room,1
15755,Large and sunny BR Bushwick,69269694,15754,3,365,70,Private room,1
15756,Artist Loft East Williamsburg,15019621,15755,2,365,99,Private room,1
15757,clean and tidy separated livingroom,21492250,15756,0,365,80,Shared room,1
15758,Lightfull and Quiet apartment 15 min to Manhattan.,69274944,15757,32,312,190,Entire home/apt,1
15759,Large Modern Studio Apartment UES,69276225,15758,1,365,115,Entire home/apt,1
15760,Bright & Spacious E. Village 1 Bdrm,18351258,15759,29,365,250,Entire home/apt,1
15761,Cozy room in heart of Williamsburg,3038856,15760,9,365,70,Private room,3
15762,Gorgeous new apartment with amazing views,11526146,15761,19,365,225,Entire home/apt,1
15763,Private bedroom in Crown Heights!,38557313,15762,1,365,31,Private room,1
15764,NW..Comfortable Room All Inclusive,68787921,15763,39,129,40,Private room,4
15765,S...Comfortable Room All Inclusive,68787921,15764,40,153,37,Private room,4
15766,Bright & Spacious Studio Apartment,2838615,15765,5,365,239,Entire home/apt,1
15767,Your Hudson Heights Hideaway ◔‿◔,69189948,15766,167,55,75,Private room,3
15768,"Large, Private Bedroom near Union Square.",69355658,15767,23,365,90,Private room,1
15769,Cozy 'n Quiet Upper Manhattan Room,4497670,15768,1,365,46,Private room,1
15770,"Columbia University,COSO房源2017暑假招租,5月31日-7月31日",69366248,15769,0,365,35,Private room,1
15771,"Charming, Spacious 1 Bd-Great area!",5895565,15770,0,365,85,Entire home/apt,1
15772,Entire Times Square 1BD Apartment,4549084,15771,59,351,175,Entire home/apt,1
15773,Quiet Queens Basecamp,10135994,15772,0,365,60,Private room,1
15774,DSGN  Doorman One Bedroom 5186,16098958,15773,1,30,155,Entire home/apt,96
15775,Studio in the heart of Manhattan,69384130,15774,1,365,143,Entire home/apt,1
15776,"East Village, sunny, five room, three beds.",69391155,15775,0,365,140,Entire home/apt,1
15777,Sunlit Studio on UWS!,68388626,15776,4,365,120,Entire home/apt,1
15778,The Clean Comfortable Modern Lounge,48671504,15777,90,34,79,Entire home/apt,1
15779,Modern Apartment. Central Park. B/C,52630170,15778,2,365,50,Private room,1
15780,3BR Queens (3rd fl)- 20 min to Manhattan,69427329,15779,115,85,289,Private room,6
15781,Spacious Town House near Park,11811612,15780,7,365,62,Entire home/apt,1
15782,Spacious Master Bedroom  20 mins away from NYC,69433039,15781,27,240,85,Private room,1
15783,Bedroom in Classic Clinton Hill,9784153,15782,0,365,99,Private room,1
15784,"Comfortable, clean and inviting.",69435907,15783,149,273,50,Private room,1
15785,Brand New Clean and Sunny one bed!,7465850,15784,43,122,120,Entire home/apt,1
15786,Brooklyn Suite,69255438,15785,1,365,180,Entire home/apt,1
15787,Times Square | Furnished | Apartment & Bedroom,69446151,15786,1,365,90,Entire home/apt,1
15788,Unlisted,3311487,15787,0,365,80,Private room,3
15789,Cozy room near central park,69457013,15788,0,365,49,Private room,1
15790,Huge and cozy bedroom in the heart of Williamsburg,4979093,15789,1,365,90,Private room,1
15791,Penn Station / Chelsea North room,37521233,15790,5,365,55,Private room,1
15792,Private big room/Queen bed/Nice Apt,65621401,15791,7,24,49,Private room,1
15793,Uptown Bohemian 1BR with Park View,20892338,15792,3,365,105,Entire home/apt,1
15794,"Spacious, cozy bedroom in a private home",69507287,15793,151,27,40,Private room,1
15795,Hamiliton Heights Home,33363604,15794,0,365,50,Private room,1
15796,Apartment NYC - 10 to 20 June,1722054,15795,1,365,120,Entire home/apt,1
15797,Private Bedroom in the East Village,50533072,15796,3,365,90,Private room,1
15798,Full 1 BR apartment in East Williamsburg/Bushwick,6513527,15797,4,365,110,Entire home/apt,1
15799,East Midtown Modern Alcove Studio 3,45595980,15798,5,75,140,Entire home/apt,12
15800,Sunny Spacious Apt in Astoria w/ back yard access,48154615,15799,21,20,125,Entire home/apt,1
15801,Luxury White Glove Apartment 57th St and Broadway,69545387,15800,3,206,95,Entire home/apt,1
15802,Washington Heights Studio,18111963,15801,0,365,75,Entire home/apt,1
15803,Nice and cozy little apt available,69548489,15802,92,100,75,Entire home/apt,1
15804,2 bed Apartment close to Times Sq,280830,15803,176,83,244,Entire home/apt,1
15805,NYC Mini Hotel,57230304,15804,2,14,75,Private room,3
15806,Cozy Private room in Chelsea !,69598657,15805,115,328,75,Private room,1
15807,WE'RE HOME TOTO! WE ARE HOME!,390251,15806,5,350,105,Private room,4
15808,Newly renovated williamsburg bedroom near subway,17239096,15807,6,365,100,Private room,1
15809,Gramercy Studio,29859280,15808,13,339,150,Entire home/apt,1
15810,Charming 2br Near Yankee Stadium,69668616,15809,0,365,175,Entire home/apt,1
15811,"Single bedroom, Manhattan",69677082,15810,3,365,35,Private room,1
15812,PRIVATE ROON IN NEW YORK MANHATTAN,11725608,15811,68,52,51,Private room,2
15813,"large studio ,private bathroom and own entrance",64350843,15812,7,336,105,Private room,1
15814,Charming Pr Room in E. Williamsburg,59375053,15813,2,365,80,Private room,1
15815,Room in East Village,4929873,15814,163,71,84,Private room,1
15816,Clean & Spacious Bushwick Loft (front),21467726,15815,10,84,70,Private room,2
15817,COZY STUDIO  in BROOKLYN,66978896,15816,26,159,70,Entire home/apt,2
15818,Large one bedroom apt in Greenpoint,69702850,15817,0,365,195,Entire home/apt,1
15819,Cute little Studio in East Village/Alphabet City,67311188,15818,1,365,150,Entire home/apt,1
15820,,69715276,15819,0,365,100,Private room,2
15821,Large Bedroom near Subway,69715276,15820,1,365,100,Private room,2
15822,Cute private room in great location!,3231109,15821,9,223,85,Private room,2
15823,Danish Modern in Brownstone,21221697,15822,95,243,225,Entire home/apt,1
15824,Quiet bedroom on St Marks,69782291,15823,13,365,120,Private room,1
15825,"Sunny, modern apartment in Lower East Side",5826163,15824,1,275,90,Private room,1
15826,Ditmas Park Beauty,69794747,15825,96,156,175,Entire home/apt,1
15827,Acogedora  habitación en el corazón de Manhattan,66469868,15826,46,293,65,Private room,1
15828,"Elegant/Classy Artist Loft, 2 Priv bdms/CLEAN",8416362,15827,17,323,260,Entire home/apt,1
15829,Huge New 1700sf Brownstone Duplex,1672734,15828,33,364,225,Entire home/apt,1
15830,BrownBrick in Park Slope Brownstone,42413378,15829,148,274,135,Entire home/apt,2
15831,1 Bedroom June Through July,25971488,15830,0,365,135,Private room,1
15832,Sun Drenched Studio,140226,15831,23,140,195,Entire home/apt,1
15833,Charming 1BR in heart of Chinatown,15867885,15832,3,365,99,Private room,1
15834,Superhost-Designer Legal 4 Bed Townhouse Midtown 2,69852641,15833,24,91,1000,Entire home/apt,3
15835,Newly updated studio with luxury charm,9631746,15834,21,355,177,Entire home/apt,1
15836,Cozy room close to Columbia,9472822,15835,0,365,59,Private room,1
15837,High SkyView  W&D GYM Doorman 5180,16098958,15836,3,35,190,Entire home/apt,96
15838,Superhost-Pristine 4 Bed Legal Townhouse Midtown 1,69852641,15837,23,125,1000,Entire home/apt,3
15839,Private room in Williamsburg,25233652,15838,6,365,80,Private room,1
15840,Private Room rent temporary stay,69866168,15839,109,267,60,Private room,1
15841,Family Friendly Gramercy Park Gem,30789837,15840,1,365,195,Entire home/apt,1
15842,NEW NICE CLEAN & COZY PRIVATE ROOM,21091779,15841,104,72,60,Private room,3
15843,Sunny Apartment Across from Sunset Park,7609268,15842,25,353,99,Entire home/apt,1
15844,Great room in Williamsburg,545273,15843,0,365,79,Private room,1
15845,Colorful Brooklyn Garden Casita,40332331,15844,117,103,125,Entire home/apt,2
15846,"Great location in NYC, clean, quiet and cozy",69890625,15845,15,186,89,Private room,1
15847,Big and cozy room,69891208,15846,5,365,55,Private room,1
15848,"NYC Sanctuary, Skyline Views & Rooftop",34034047,15847,17,354,130,Entire home/apt,1
15849,Sunny room with a/c in new building,13007287,15848,36,365,70,Private room,1
15850,Beautiful Tranquil Bright Prime Location 1 bedroom,33816358,15849,8,365,110,Entire home/apt,1
15851,"Private, Sunny Room in East Village",69944410,15850,1,365,100,Private room,1
15852,"Artistic, Cozy Room in Williamsburg",6707228,15851,0,365,145,Private room,1
15853,Comfortable Chelsea Oasis,5346314,15852,1,365,195,Entire home/apt,1
15854,Cozy Bright Private Room in NY (Only for female),69989416,15853,54,301,30,Private room,1
15855,Beautiful Park Slope Room with Rooftop & Backyard,15398860,15854,0,365,50,Private room,1
15856,"Cozy One Bedroom Apartment in Astoria, NYC",18922352,15855,11,365,68,Entire home/apt,1
15857,Spacious LES Room& Private Backyard,13023370,15856,6,365,90,Private room,1
15858,Cozy Chic Harlem Apartment,7159107,15857,1,365,85,Entire home/apt,1
15859,Large & Unique multi Rooms Loft close to all,28303435,15858,43,133,200,Entire home/apt,1
15860,Entire apartment next to McGolrick Park!,3510993,15859,0,365,100,Entire home/apt,1
15861,Spacious East Village Bedroom,70026602,15860,18,365,150,Private room,1
15862,Gorgeous 1BR near Columbus Circle,28340943,15861,0,365,199,Entire home/apt,1
15863,"Cozy bedroom, awesome East Village apartment!",70030943,15862,2,365,60,Private room,1
15864,The Yellow Bungalow of Rockaway Beach,1106731,15863,27,365,135,Entire home/apt,2
15865,Sunny Bedroom + Private Living Room,70039705,15864,5,365,100,Private room,1
15866,"East 74th street, Cozy UES 1bd Serviced Apartment",22541573,15865,1,15,163,Entire home/apt,87
15867,"East 63rd street, Studio Serviced Apartment",22541573,15866,2,78,187,Entire home/apt,87
15868,East 63rd street 1bd Serviced Apartment,22541573,15867,1,0,225,Entire home/apt,87
15869,Private 1 Bedroom Garden Level Apt,3404004,15868,1,365,120,Entire home/apt,1
15870,Awesome spacious room by the park,1216362,15869,43,177,73,Private room,4
15871,A bay window on Brooklyn,10273704,15870,148,323,100,Private room,2
15872,1 Bedroom Located in Trendy Williamsburg,70065232,15871,1,365,99,Entire home/apt,1
15873,"New 3BR, 2 Full Bath with Washer & Dryer",70058270,15872,39,106,300,Entire home/apt,4
15874,Spacious Private room near Columbia,70082670,15873,2,365,92,Entire home/apt,1
15875,comfy bedroom in williamsburg,2238348,15874,0,365,42,Private room,1
15876,Upper East Side Private Room and Bath: A+ location,7443904,15875,8,365,100,Private room,1
15877,Fully Furnished Room in Quiet Apt,51663418,15876,1,365,40,Private room,1
15878,Spacious West Village Loft Studio,62225580,15877,0,365,225,Entire home/apt,1
15879,"PRIME LOCATION, PARK SLOPE -BKLYN: 4BR FAMILY TYPE",23144316,15878,4,319,170,Entire home/apt,1
15880,Beautiful family apt in Astoria,8752988,15879,0,365,125,Entire home/apt,1
15881,1 bed room rail road apartment,70164336,15880,9,365,109,Entire home/apt,1
15882,Spacious 2 BR in Midtown,61391963,15881,6,239,150,Entire home/apt,91
15883,"Prime location, close to everything. Females only",10737943,15882,3,0,50,Private room,10
15884,Beautiful modern home!,46938101,15883,33,17,49,Private room,1
15885,Lovely Brooklyn Duplex near Prospect Park 3BR,70181422,15884,8,365,265,Entire home/apt,4
15886,Cozy bedroom in Downtown Manhattan,70198067,15885,0,365,80,Private room,1
15887,Zen-like Room with Exposed Brick in East Bushwick,64062688,15886,4,365,44,Private room,1
15888,Huge Room in Stunning Pre-war NY Loft,44351733,15887,22,362,260,Private room,1
15889,Midtown East XL 1 BR,61391963,15888,3,23,133,Entire home/apt,91
15890,New studio apartment 4mins from subway in Astoria,3248699,15889,15,365,80,Entire home/apt,1
15891,Private Room in Williamsburg Duplex,70208173,15890,6,0,1000,Private room,1
15892,Studio Apartment near Columbia U,68322243,15891,3,365,154,Entire home/apt,1
15893,Boerum Hill Beautiful Spacious Two Bedrooms Apt.,700224,15892,9,39,150,Entire home/apt,4
15894,Private room in the heart of NY,2344389,15893,0,365,150,Private room,1
15895,Brand New Luxurious Studio Midtown,61391963,15894,7,216,125,Entire home/apt,91
